"","filename","dyadNumber","condition","game","trial","target","choice","correct","trialStart","trialEnd","trialValue","startOfNextTrial","signallingPlayer","role","turnNumber","turnType","turnStart","turnEnd","turnLength","modality","signalStart","signalEnd","signalLength","signalType","trialString","modalityCondition","playerId","itemId","turnString","trialLength"
"13","D10_TT_Coded.eaf","D10","Auditory",0,11,7,7,TRUE,315602,333377,"Ga0 Tu11 Ta7 {8 *7* 3} Ch7",341182,2,"Director",1,"T1",321202,326810,5608,"Acoustic",321202,326810,5608,"X","Auditory D10 0 11","vocal","D10 2","Auditory 7","Auditory vocal D10 321202 326810",12175
"14","D10_TT_Coded.eaf","D10","Auditory",0,12,8,8,TRUE,341182,350834,"Ga0 Tu12 Ta8 {1 *8* 6} Ch8",353832,1,"Director",1,"T1",344418,346823,2405,"Acoustic",344418,346823,2405,"X","Auditory D10 0 12","vocal","D10 1","Auditory 8","Auditory vocal D10 344418 346823",6416
"15","D10_TT_Coded.eaf","D10","Auditory",0,13,6,6,TRUE,353832,366527,"Ga0 Tu13 Ta6 {*6* 7 8} Ch6",368075,2,"Director",1,"T1",358418,365215,6797,"Acoustic",358418,365215,6797,"X","Auditory D10 0 13","vocal","D10 2","Auditory 6","Auditory vocal D10 358418 365215",8109
"16","D10_TT_Coded.eaf","D10","Auditory",0,14,1,1,TRUE,368075,378888,"Ga0 Tu14 Ta1 {*1* 7 2} Ch1",381207,1,"Director",1,"T1",371634,373229,1595,"Acoustic",371634,373229,1595,"X","Auditory D10 0 14","vocal","D10 1","Auditory 1","Auditory vocal D10 371634 373229",7254
"17","D10_TT_Coded.eaf","D10","Auditory",0,15,5,5,TRUE,381207,402638,"Ga0 Tu15 Ta5 {2 3 *5*} Ch5",410573,2,"Director",1,"T1",384418,387824,3406,"Acoustic",384418,385418,1000,"X","Auditory D10 0 15","vocal","D10 2","Auditory 5","Auditory vocal D10 384418 387824",18220
"18","D10_TT_Coded.eaf","D10","Auditory",0,15,5,5,TRUE,381207,402638,"Ga0 Tu15 Ta5 {2 3 *5*} Ch5",410573,2,"Director",1,"T1",384418,387824,3406,"Acoustic",386823,387620,797,"X","Auditory D10 0 15","vocal","D10 2","Auditory 5","Auditory vocal D10 384418 387824",18220
"19","D10_TT_Coded.eaf","D10","Auditory",1,0,7,7,TRUE,410573,426216,"Ga1 Tu0 Ta7 {*7* 2 3} Ch7",428357,1,"Director",1,"T1",420594,422810,2216,"Acoustic",420594,422810,2216,"X","Auditory D10 1 0","vocal","D10 1","Auditory 7","Auditory vocal D10 420594 422810",5622
"20","D10_TT_Coded.eaf","D10","Auditory",1,1,1,1,TRUE,428357,443493,"Ga1 Tu1 Ta1 {6 4 *1*} Ch1",445775,2,"Director",1,"T1",433026,434620,1594,"Acoustic",433026,434620,1594,"X","Auditory D10 1 1","vocal","D10 2","Auditory 1","Auditory vocal D10 433026 434620",10467
"21","D10_TT_Coded.eaf","D10","Auditory",1,2,3,3,TRUE,445775,460069,"Ga1 Tu2 Ta3 {4 5 *3*} Ch3",461644,1,"Director",1,"T1",449418,453824,4406,"Acoustic",449418,453824,4406,"X","Auditory D10 1 2","vocal","D10 1","Auditory 3","Auditory vocal D10 449418 453824",10651
"22","D10_TT_Coded.eaf","D10","Auditory",1,3,8,8,TRUE,461644,485795,"Ga1 Tu3 Ta8 {5 *8* 3} Ch8",488084,2,"Director",1,"T1",478824,481824,3000,"Acoustic",478824,481824,3000,"X","Auditory D10 1 3","vocal","D10 2","Auditory 8","Auditory vocal D10 478824 481824",6971
"23","D10_TT_Coded.eaf","D10","Auditory",1,4,5,5,TRUE,488084,499932,"Ga1 Tu4 Ta5 {7 *5* 6} Ch5",501498,1,"Director",1,"T1",488229,489229,1000,"Acoustic",488229,489229,1000,"X","Auditory D10 1 4","vocal","D10 1","Auditory 5","Auditory vocal D10 488229 489229",11703
"24","D10_TT_Coded.eaf","D10","Auditory",1,5,4,4,TRUE,501498,513162,"Ga1 Tu5 Ta4 {*4* 7 1} Ch4",515089,2,"Director",1,"T1",509026,509823,797,"Acoustic",509026,509823,797,"X","Auditory D10 1 5","vocal","D10 2","Auditory 4","Auditory vocal D10 509026 509823",4136
"25","D10_TT_Coded.eaf","D10","Auditory",1,6,6,6,TRUE,515089,530648,"Ga1 Tu6 Ta6 {2 *6* 8} Ch6",532784,1,"Director",1,"T1",518620,520620,2000,"Acoustic",518620,520620,2000,"X","Auditory D10 1 6","vocal","D10 1","Auditory 6","Auditory vocal D10 518620 520620",12028
"26","D10_TT_Coded.eaf","D10","Auditory",1,7,2,2,TRUE,532784,559039,"Ga1 Tu7 Ta2 {*2* 1 4} Ch2",560407,2,"Director",1,"T1",544999,556432,11433,"Acoustic",545013,548026,3013,"X","Auditory D10 1 7","vocal","D10 2","Auditory 2","Auditory vocal D10 544999 556432",14040
"27","D10_TT_Coded.eaf","D10","Auditory",1,7,2,2,TRUE,532784,559039,"Ga1 Tu7 Ta2 {*2* 1 4} Ch2",560407,2,"Director",1,"T1",544999,556432,11433,"Acoustic",554215,556418,2203,"X","Auditory D10 1 7","vocal","D10 2","Auditory 2","Auditory vocal D10 544999 556432",14040
"28","D10_TT_Coded.eaf","D10","Auditory",1,8,1,1,TRUE,560407,568309,"Ga1 Tu8 Ta1 {*1* 7 2} Ch1",569111,1,"Director",1,"T1",563202,565026,1824,"Acoustic",563202,565026,1824,"X","Auditory D10 1 8","vocal","D10 1","Auditory 1","Auditory vocal D10 563202 565026",5107
"29","D10_TT_Coded.eaf","D10","Auditory",1,9,5,5,TRUE,569111,590606,"Ga1 Tu9 Ta5 {2 3 *5*} Ch5",592472,2,"Director",1,"T1",573290,581400,8110,"Acoustic",573300,574200,900,"X","Auditory D10 1 9","vocal","D10 2","Auditory 5","Auditory vocal D10 573290 581400",17316
"30","D10_TT_Coded.eaf","D10","Auditory",1,9,5,5,TRUE,569111,590606,"Ga1 Tu9 Ta5 {2 3 *5*} Ch5",592472,2,"Director",1,"T1",573290,581400,8110,"Acoustic",580600,581400,800,"X","Auditory D10 1 9","vocal","D10 2","Auditory 5","Auditory vocal D10 573290 581400",17316
"31","D10_TT_Coded.eaf","D10","Auditory",1,10,2,2,TRUE,592472,614991,"Ga1 Tu10 Ta2 {5 1 *2*} Ch2",616509,1,"Director",1,"T1",606300,608500,2200,"Acoustic",606290,607200,910,"X","Auditory D10 1 10","vocal","D10 1","Auditory 2","Auditory vocal D10 606300 608500",8691
"32","D10_TT_Coded.eaf","D10","Auditory",1,10,2,2,TRUE,592472,614991,"Ga1 Tu10 Ta2 {5 1 *2*} Ch2",616509,1,"Director",1,"T1",606300,608500,2200,"Acoustic",607600,608500,900,"X","Auditory D10 1 10","vocal","D10 1","Auditory 2","Auditory vocal D10 606300 608500",8691
"33","D10_TT_Coded.eaf","D10","Auditory",1,11,3,3,TRUE,616509,642396,"Ga1 Tu11 Ta3 {8 *3* 4} Ch3",644395,2,"Director",1,"T1",627395,637205,9810,"Acoustic",627400,629350,1950,"X","Auditory D10 1 11","vocal","D10 2","Auditory 3","Auditory vocal D10 627395 637205",15001
"34","D10_TT_Coded.eaf","D10","Auditory",1,11,3,3,TRUE,616509,642396,"Ga1 Tu11 Ta3 {8 *3* 4} Ch3",644395,2,"Director",1,"T1",627395,637205,9810,"Acoustic",629620,631300,1680,"X","Auditory D10 1 11","vocal","D10 2","Auditory 3","Auditory vocal D10 627395 637205",15001
"35","D10_TT_Coded.eaf","D10","Auditory",1,11,3,3,TRUE,616509,642396,"Ga1 Tu11 Ta3 {8 *3* 4} Ch3",644395,2,"Director",1,"T1",627395,637205,9810,"Acoustic",632100,637200,5100,"X","Auditory D10 1 11","vocal","D10 2","Auditory 3","Auditory vocal D10 627395 637205",15001
"36","D10_TT_Coded.eaf","D10","Auditory",1,12,8,8,TRUE,644395,656771,"Ga1 Tu12 Ta8 {1 *8* 6} Ch8",655131,1,"Director",1,"T1",646210,648800,2590,"Acoustic",646210,648800,2590,"X","Auditory D10 1 12","vocal","D10 1","Auditory 8","Auditory vocal D10 646210 648800",10561
"37","D10_TT_Coded.eaf","D10","Auditory",1,13,6,6,TRUE,655131,667339,"Ga1 Tu13 Ta6 {*6* 7 8} Ch6",670017,2,"Director",1,"T1",661110,666610,5500,"Acoustic",661110,663900,2790,"X","Auditory D10 1 13","vocal","D10 2","Auditory 6","Auditory vocal D10 661110 666610",6229
"38","D10_TT_Coded.eaf","D10","Auditory",1,13,6,6,TRUE,655131,667339,"Ga1 Tu13 Ta6 {*6* 7 8} Ch6",670017,2,"Director",1,"T1",661110,666610,5500,"Acoustic",664100,666610,2510,"X","Auditory D10 1 13","vocal","D10 2","Auditory 6","Auditory vocal D10 661110 666610",6229
"39","D10_TT_Coded.eaf","D10","Auditory",1,14,4,4,TRUE,670017,687949,"Ga1 Tu14 Ta4 {6 5 *4*} Ch4",690546,1,"Director",1,"T1",670095,673405,3310,"Acoustic",670100,671000,900,"X","Auditory D10 1 14","vocal","D10 1","Auditory 4","Auditory vocal D10 670095 673405",17854
"40","D10_TT_Coded.eaf","D10","Auditory",1,14,4,4,TRUE,670017,687949,"Ga1 Tu14 Ta4 {6 5 *4*} Ch4",690546,1,"Director",1,"T1",670095,673405,3310,"Acoustic",672705,673405,700,"X","Auditory D10 1 14","vocal","D10 1","Auditory 4","Auditory vocal D10 670095 673405",17854
"41","D10_TT_Coded.eaf","D10","Auditory",1,15,7,7,TRUE,690546,704961,"Ga1 Tu15 Ta7 {8 *7* 3} Ch7",713190,2,"Director",1,"T1",695300,700200,4900,"Acoustic",695300,700200,4900,"X","Auditory D10 1 15","vocal","D10 2","Auditory 7","Auditory vocal D10 695300 700200",9661
"42","D10_TT_Coded.eaf","D10","Auditory",2,0,8,8,TRUE,713190,721596,"Ga2 Tu0 Ta8 {1 *8* 6} Ch8",723465,1,"Director",1,"T1",715005,717105,2100,"Acoustic",715005,717105,2100,"X","Auditory D10 2 0","vocal","D10 1","Auditory 8","Auditory vocal D10 715005 717105",6591
"43","D10_TT_Coded.eaf","D10","Auditory",2,1,6,6,TRUE,723465,734313,"Ga2 Tu1 Ta6 {*6* 7 8} Ch6",736044,2,"Director",1,"T1",728005,730905,2900,"Acoustic",728005,730905,2900,"X","Auditory D10 2 1","vocal","D10 2","Auditory 6","Auditory vocal D10 728005 730905",6308
"44","D10_TT_Coded.eaf","D10","Auditory",2,2,5,5,TRUE,736044,743740,"Ga2 Tu2 Ta5 {7 *5* 6} Ch5",746448,1,"Director",1,"T1",736700,737400,700,"Acoustic",736700,737400,700,"X","Auditory D10 2 2","vocal","D10 1","Auditory 5","Auditory vocal D10 736700 737400",7040
"45","D10_TT_Coded.eaf","D10","Auditory",2,3,4,4,TRUE,746448,753688,"Ga2 Tu3 Ta4 {*4* 7 1} Ch4",755076,2,"Director",1,"T1",749000,751500,2500,"Acoustic",749000,751500,2500,"X","Auditory D10 2 3","vocal","D10 2","Auditory 4","Auditory vocal D10 749000 751500",4688
"46","D10_TT_Coded.eaf","D10","Auditory",2,4,2,2,TRUE,755076,767267,"Ga2 Tu4 Ta2 {5 1 *2*} Ch2",769151,1,"Director",1,"T1",761400,763800,2400,"Acoustic",761400,763800,2400,"X","Auditory D10 2 4","vocal","D10 1","Auditory 2","Auditory vocal D10 761400 763800",5867
"47","D10_TT_Coded.eaf","D10","Auditory",2,5,3,3,TRUE,769151,788742,"Ga2 Tu5 Ta3 {8 *3* 4} Ch3",791451,2,"Director",1,"T1",774495,788700,14205,"Acoustic",774500,782700,8200,"X","Auditory D10 2 5","vocal","D10 2","Auditory 3","Auditory vocal D10 774495 788700",14247
"48","D10_TT_Coded.eaf","D10","Auditory",2,5,3,3,TRUE,769151,788742,"Ga2 Tu5 Ta3 {8 *3* 4} Ch3",791451,2,"Director",1,"T1",774495,788700,14205,"Acoustic",786600,788700,2100,"X","Auditory D10 2 5","vocal","D10 2","Auditory 3","Auditory vocal D10 774495 788700",14247
"49","D10_TT_Coded.eaf","D10","Auditory",2,6,6,6,TRUE,791451,813235,"Ga2 Tu6 Ta6 {2 *6* 8} Ch6",814789,1,"Director",1,"T1",794720,797600,2880,"Acoustic",794720,797600,2880,"X","Auditory D10 2 6","vocal","D10 1","Auditory 6","Auditory vocal D10 794720 797600",18515
"50","D10_TT_Coded.eaf","D10","Auditory",2,7,2,2,TRUE,814789,834197,"Ga2 Tu7 Ta2 {*2* 1 4} Ch2",836018,2,"Director",1,"T1",820300,823400,3100,"Acoustic",820300,823400,3100,"X","Auditory D10 2 7","vocal","D10 2","Auditory 2","Auditory vocal D10 820300 823400",13897
"51","D10_TT_Coded.eaf","D10","Auditory",2,8,4,5,FALSE,836018,843843,"Ga2 Tu8 Ta4 {6 *5* 4} Ch5",843932,1,"Director",1,"T1",836505,840405,3900,"Acoustic",836510,837310,800,"X","Auditory D10 2 8","vocal","D10 1","Auditory 4","Auditory vocal D10 836505 840405",7338
"52","D10_TT_Coded.eaf","D10","Auditory",2,8,4,5,FALSE,836018,843843,"Ga2 Tu8 Ta4 {6 *5* 4} Ch5",843932,1,"Director",1,"T1",836505,840405,3900,"Acoustic",839000,840400,1400,"X","Auditory D10 2 8","vocal","D10 1","Auditory 4","Auditory vocal D10 836505 840405",7338
"54","D10_TT_Coded.eaf","D10","Auditory",2,9,7,7,TRUE,843932,858796,"Ga2 Tu9 Ta7 {8 *7* 3} Ch7",860306,2,"Director",1,"T1",849215,853705,4490,"Acoustic",849215,851605,2390,"X","Auditory D10 2 9","vocal","D10 2","Auditory 7","Auditory vocal D10 849215 853705",9581
"55","D10_TT_Coded.eaf","D10","Auditory",2,9,7,7,TRUE,843932,858796,"Ga2 Tu9 Ta7 {8 *7* 3} Ch7",860306,2,"Director",1,"T1",849215,853705,4490,"Acoustic",852000,853700,1700,"X","Auditory D10 2 9","vocal","D10 2","Auditory 7","Auditory vocal D10 849215 853705",9581
"57","D10_TT_Coded.eaf","D10","Auditory",2,10,3,3,TRUE,860306,869778,"Ga2 Tu10 Ta3 {4 5 *3*} Ch3",871276,1,"Director",1,"T1",862510,867500,4990,"Acoustic",862510,867500,4990,"X","Auditory D10 2 10","vocal","D10 1","Auditory 3","Auditory vocal D10 862510 867500",7268
"58","D10_TT_Coded.eaf","D10","Auditory",2,11,8,8,TRUE,871276,885587,"Ga2 Tu11 Ta8 {5 *8* 3} Ch8",887098,2,"Director",1,"T1",880300,883600,3300,"Acoustic",880300,883600,3300,"X","Auditory D10 2 11","vocal","D10 2","Auditory 8","Auditory vocal D10 880300 883600",5287
"59","D10_TT_Coded.eaf","D10","Auditory",2,12,1,1,TRUE,887098,893241,"Ga2 Tu12 Ta1 {*1* 7 2} Ch1",894666,1,"Director",1,"T1",889915,891605,1690,"Acoustic",889915,891605,1690,"X","Auditory D10 2 12","vocal","D10 1","Auditory 1","Auditory vocal D10 889915 891605",3326
"60","D10_TT_Coded.eaf","D10","Auditory",2,13,5,2,FALSE,894666,915793,"Ga2 Tu13 Ta5 {*2* 3 5} Ch2",916833,2,"Director",1,"T1",904010,910900,6890,"Acoustic",904010,906900,2890,"X","Auditory D10 2 13","vocal","D10 2","Auditory 5","Auditory vocal D10 904010 910900",11783
"61","D10_TT_Coded.eaf","D10","Auditory",2,13,5,2,FALSE,894666,915793,"Ga2 Tu13 Ta5 {*2* 3 5} Ch2",916833,2,"Director",1,"T1",904010,910900,6890,"Acoustic",910110,910900,790,"X","Auditory D10 2 13","vocal","D10 2","Auditory 5","Auditory vocal D10 904010 910900",11783
"62","D10_TT_Coded.eaf","D10","Auditory",2,14,7,7,TRUE,916833,927145,"Ga2 Tu14 Ta7 {*7* 2 3} Ch7",928577,1,"Director",1,"T1",920010,922600,2590,"Acoustic",920010,922600,2590,"X","Auditory D10 2 14","vocal","D10 1","Auditory 7","Auditory vocal D10 920010 922600",7135
"63","D10_TT_Coded.eaf","D10","Auditory",2,15,1,1,TRUE,928577,942161,"Ga2 Tu15 Ta1 {6 4 *1*} Ch1",945504,2,"Director",1,"T1",931510,935900,4390,"Acoustic",931510,935900,4390,"X","Auditory D10 2 15","vocal","D10 2","Auditory 1","Auditory vocal D10 931510 935900",10651
"64","D10_TT_Coded.eaf","D10","Auditory",3,0,3,3,TRUE,945504,961297,"Ga3 Tu0 Ta3 {4 5 *3*} Ch3",962112,1,"Director",1,"T1",955000,958600,3600,"Acoustic",955000,958600,3600,"X","Auditory D10 3 0","vocal","D10 1","Auditory 3","Auditory vocal D10 955000 958600",6297
"65","D10_TT_Coded.eaf","D10","Auditory",3,1,8,8,TRUE,962112,975599,"Ga3 Tu1 Ta8 {5 *8* 3} Ch8",978040,2,"Director",1,"T1",971000,973400,2400,"Acoustic",971000,973400,2400,"X","Auditory D10 3 1","vocal","D10 2","Auditory 8","Auditory vocal D10 971000 973400",4599
"66","D10_TT_Coded.eaf","D10","Auditory",3,2,4,5,FALSE,978040,984512,"Ga3 Tu2 Ta4 {6 *5* 4} Ch5",984935,1,"Director",1,"T1",979510,982300,2790,"Acoustic",979500,980400,900,"X","Auditory D10 3 2","vocal","D10 1","Auditory 4","Auditory vocal D10 979510 982300",5002
"67","D10_TT_Coded.eaf","D10","Auditory",3,2,4,5,FALSE,978040,984512,"Ga3 Tu2 Ta4 {6 *5* 4} Ch5",984935,1,"Director",1,"T1",979510,982300,2790,"Acoustic",981710,982300,590,"X","Auditory D10 3 2","vocal","D10 1","Auditory 4","Auditory vocal D10 979510 982300",5002
"68","D10_TT_Coded.eaf","D10","Auditory",3,3,7,7,TRUE,984935,994207,"Ga3 Tu3 Ta7 {8 *7* 3} Ch7",994800,2,"Director",1,"T1",987700,993300,5600,"Acoustic",987695,990505,2810,"X","Auditory D10 3 3","vocal","D10 2","Auditory 7","Auditory vocal D10 987700 993300",6507
"69","D10_TT_Coded.eaf","D10","Auditory",3,3,7,7,TRUE,984935,994207,"Ga3 Tu3 Ta7 {8 *7* 3} Ch7",994800,2,"Director",1,"T1",987700,993300,5600,"Acoustic",991005,993305,2300,"X","Auditory D10 3 3","vocal","D10 2","Auditory 7","Auditory vocal D10 987700 993300",6507
"70","D10_TT_Coded.eaf","D10","Auditory",3,4,6,6,TRUE,994800,1006247,"Ga3 Tu4 Ta6 {2 *6* 8} Ch6",1007374,1,"Director",1,"T1",999010,1004800,5790,"Acoustic",999010,1001500,2490,"X","Auditory D10 3 4","vocal","D10 1","Auditory 6","Auditory vocal D10 999010 1004800",7237
"71","D10_TT_Coded.eaf","D10","Auditory",3,4,6,6,TRUE,994800,1006247,"Ga3 Tu4 Ta6 {2 *6* 8} Ch6",1007374,1,"Director",1,"T1",999010,1004800,5790,"Acoustic",1002210,1004800,2590,"X","Auditory D10 3 4","vocal","D10 1","Auditory 6","Auditory vocal D10 999010 1004800",7237
"72","D10_TT_Coded.eaf","D10","Auditory",3,5,2,2,TRUE,1007374,1023885,"Ga3 Tu5 Ta2 {*2* 1 4} Ch2",1025455,2,"Director",1,"T1",1015200,1019600,4400,"Acoustic",1015200,1019600,4400,"X","Auditory D10 3 5","vocal","D10 2","Auditory 2","Auditory vocal D10 1015200 1019600",8685
"73","D10_TT_Coded.eaf","D10","Auditory",3,6,8,8,TRUE,1025455,1031639,"Ga3 Tu6 Ta8 {1 *8* 6} Ch8",1032653,1,"Director",1,"T1",1027300,1029900,2600,"Acoustic",1027300,1029900,2600,"X","Auditory D10 3 6","vocal","D10 1","Auditory 8","Auditory vocal D10 1027300 1029900",4339
"74","D10_TT_Coded.eaf","D10","Auditory",3,7,3,3,TRUE,1032653,1044788,"Ga3 Tu7 Ta3 {8 *3* 4} Ch3",1045255,2,"Director",1,"T1",1036280,1044500,8220,"Acoustic",1036275,1040805,4530,"X","Auditory D10 3 7","vocal","D10 2","Auditory 3","Auditory vocal D10 1036280 1044500",8508
"75","D10_TT_Coded.eaf","D10","Auditory",3,7,3,3,TRUE,1032653,1044788,"Ga3 Tu7 Ta3 {8 *3* 4} Ch3",1045255,2,"Director",1,"T1",1036280,1044500,8220,"Acoustic",1041005,1043505,2500,"X","Auditory D10 3 7","vocal","D10 2","Auditory 3","Auditory vocal D10 1036280 1044500",8508
"76","D10_TT_Coded.eaf","D10","Auditory",3,7,3,3,TRUE,1032653,1044788,"Ga3 Tu7 Ta3 {8 *3* 4} Ch3",1045255,2,"Director",1,"T1",1036280,1044500,8220,"Acoustic",1043800,1044500,700,"X","Auditory D10 3 7","vocal","D10 2","Auditory 3","Auditory vocal D10 1036280 1044500",8508
"77","D10_TT_Coded.eaf","D10","Auditory",3,8,2,2,TRUE,1045255,1060487,"Ga3 Tu8 Ta2 {5 1 *2*} Ch2",1060828,1,"Director",1,"T1",1053200,1055600,2400,"Acoustic",1053215,1054405,1190,"X","Auditory D10 3 8","vocal","D10 1","Auditory 2","Auditory vocal D10 1053200 1055600",7287
"78","D10_TT_Coded.eaf","D10","Auditory",3,8,2,2,TRUE,1045255,1060487,"Ga3 Tu8 Ta2 {5 1 *2*} Ch2",1060828,1,"Director",1,"T1",1053200,1055600,2400,"Acoustic",1054615,1055605,990,"X","Auditory D10 3 8","vocal","D10 1","Auditory 2","Auditory vocal D10 1053200 1055600",7287
"79","D10_TT_Coded.eaf","D10","Auditory",3,9,6,6,TRUE,1060828,1073667,"Ga3 Tu9 Ta6 {*6* 7 8} Ch6",1074326,2,"Director",1,"T1",1067400,1073400,6000,"Acoustic",1067395,1070805,3410,"X","Auditory D10 3 9","vocal","D10 2","Auditory 6","Auditory vocal D10 1067400 1073400",6267
"80","D10_TT_Coded.eaf","D10","Auditory",3,9,6,6,TRUE,1060828,1073667,"Ga3 Tu9 Ta6 {*6* 7 8} Ch6",1074326,2,"Director",1,"T1",1067400,1073400,6000,"Acoustic",1072015,1073405,1390,"X","Auditory D10 3 9","vocal","D10 2","Auditory 6","Auditory vocal D10 1067400 1073400",6267
"81","D10_TT_Coded.eaf","D10","Auditory",3,10,5,5,TRUE,1074326,1081055,"Ga3 Tu10 Ta5 {7 *5* 6} Ch5",1081387,1,"Director",1,"T1",1075800,1079400,3600,"Acoustic",1075815,1076505,690,"X","Auditory D10 3 10","vocal","D10 1","Auditory 5","Auditory vocal D10 1075800 1079400",5255
"82","D10_TT_Coded.eaf","D10","Auditory",3,10,5,5,TRUE,1074326,1081055,"Ga3 Tu10 Ta5 {7 *5* 6} Ch5",1081387,1,"Director",1,"T1",1075800,1079400,3600,"Acoustic",1078505,1079405,900,"X","Auditory D10 3 10","vocal","D10 1","Auditory 5","Auditory vocal D10 1075800 1079400",5255
"83","D10_TT_Coded.eaf","D10","Auditory",3,11,4,4,TRUE,1081387,1087083,"Ga3 Tu11 Ta4 {*4* 7 1} Ch4",1087822,2,"Director",1,"T1",1083210,1085400,2190,"Acoustic",1083200,1083900,700,"X","Auditory D10 3 11","vocal","D10 2","Auditory 4","Auditory vocal D10 1083210 1085400",3873
"84","D10_TT_Coded.eaf","D10","Auditory",3,11,4,4,TRUE,1081387,1087083,"Ga3 Tu11 Ta4 {*4* 7 1} Ch4",1087822,2,"Director",1,"T1",1083210,1085400,2190,"Acoustic",1084800,1085400,600,"X","Auditory D10 3 11","vocal","D10 2","Auditory 4","Auditory vocal D10 1083210 1085400",3873
"85","D10_TT_Coded.eaf","D10","Auditory",3,12,1,1,TRUE,1087822,1094238,"Ga3 Tu12 Ta1 {*1* 7 2} Ch1",1095562,1,"Director",1,"T1",1091010,1092900,1890,"Acoustic",1091010,1092900,1890,"X","Auditory D10 3 12","vocal","D10 1","Auditory 1","Auditory vocal D10 1091010 1092900",3228
